Metrics,Atl Habitat,Lisa Gordon,Habitat Org,Habitat Volunteers,Habitat AmeriCorps,AmeriCorps,NWMA Habitat,SC Habitat,Gwinnett Habitat,Habitat DeKalb,Habitat Georgia,Habitat Build Louder,City of East Point,City of Hapeville,City of South Fulton,City of Fairburn,Truly Living Well,Friends of GA Parks,GA Sierra Club,Hands on Atlanta,Los Vecinos de Buford Hwy,Beltline,GLAR,Atlanta Community Food Band,Westside Future Fund,Atlanta Women Who Code,The Kendeda Fund,Athena's Warehouse,9to5  GA,Atlanta Mission,United Way of Greater Atl,Latin American Assoc,Asian Americans Advancing Justice Atl,Atlanta Bike Coalition,Wonder Root,Fernbank Museum,MailChimp
Social Authority Rank,42,44,74,49,44,65,34,10,31,1,46,51,39,24,31,40,41,37,47,48,27,64,46,43,36,53,37,8,24,42,54,39,36,49,46,41,87
Followers,1995,525,1134090,2878,1289,59150,530,374,633,338,185,1922,1203,586,479,510,1643,4084,2345,4391,188,390818,1074,9075,943,3110,1162,513,1124,5418,7758,3607,1677,9408,11178,20359,239284
Following,2050,314,5628,1775,1111,824,206,681,776,402,156,1113,39,0,272,140,2265,307,383,330,395,4013,139,1184,167,633,1286,970,886,2632,3620,3003,1368,2888,6064,2428,16573
Avg Tweets Week,8,3,50,22,8,20,1,4,3,1,39,18,5,4,10,3,22,5,6,5,10,13,19,22,6,18,4,2,9,7,14,4,10,16,45,14,125
Avg Followers Day,0,0,349,1,0,16,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,110,0,2,1,1,1,0,0,1,2,1,0,2,3,5,62
Total tweets,2139,1600,24595,7321,2674,10358,745,1455,886,446,4786,6046,2211,2138,613,687,7672,2593,3048,2490,1029,6855,7777,11129,891,4582,780,945,4792,3722,7348,2408,4253,8041,22049,7253,68347
Days Old,1763,2867,3439,2282,2325,3572,2684,2058,2059,2422,857,2257,3081,3457,394,1589,2397,3464,3249,3370,3521,3521,2816,3445,902,1693,1098,2771,3382,3369,3593,3383,2957,3478,3394,3431,3810
Retweets,0,0,12,44,0,41,0,0,0,0,0,0,0,0,0,0,0,0,37,21,0,45,0,27,0,65,0,0,0,40,6,11,0,39,46,39,2
ATContacts,0,0,30,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,15,0,4,0,1,0,0,0,9,9,4,0,14,9,24,95
URL,0,0,79,54,0,57,0,0,0,0,0,0,0,0,0,0,0,0,59,79,0,47,0,70,0,35,0,0,0,52,90,89,0,56,50,41,81
